AcYear,Semester,Year,Course_num_official,Course_num_grouped,Course Name,Discipline,CB_type,Enrollment,Cap,Percent_cap
20212022,fall,2021,BIOL-357,BIOL-357,Behavioral Ecology,Eco_Evo,Adv Eco,14,16,87.5
20172018,spr,2018,BIOL-4021,BIOL-4021,Community Ecology,Eco_Evo,Adv Eco,8,16,50
20192020,spr,2020,BIOL-4029,BIOL-4029,Desert Ecology w/Lab,Eco_Evo,Adv Eco,8,16,50
20182019,spr,2019,BIOL-4026,BIOL-4026,Ecological Modeling,Eco_Evo,Adv Eco,7,16,43.75
20182019,fall,2018,BIOL-330,BIOL-330,Ecology Lakes & Rivers w/Lab,Eco_Evo,Adv Eco,14,16,87.5
20192020,fall,2019,BIOL-330,BIOL-330,Ecology Lakes & Rivers w/Lab,Eco_Evo,Adv Eco,15,16,93.75
20202021,fall,2020,BIOL-330,BIOL-330,Ecology Lakes & Rivers w/Lab,Eco_Evo,Adv Eco,18,16,112.5
20212022,fall,2021,BIOL-330,BIOL-330,Ecology Lakes & Rivers w/Lab,Eco_Evo,Adv Eco,13,16,81.25
20172018,fall,2017,BIOL-4018,BIOL-4018,Forest Ecology w/Lab,Eco_Evo,Adv Eco,11,16,68.75
20212022,fall,2021,BIOL-4018,BIOL-4018,Forest Ecology w/Lab,Eco_Evo,Adv Eco,5,16,31.25
20192020,spr,2020,BIOL-4004NL,BIOL-4004NL,Symbiosis-No Lab,Eco_Evo,Adv Eco,6,16,37.5
20172018,spr,2018,BIOL-380,BIOL-380,Tropical Ecology,Eco_Evo,Adv Eco,15,16,93.75
20182019,spr,2019,BIOL-380,BIOL-380,Tropical Ecology,Eco_Evo,Adv Eco,17,16,106.25
20202021,fall,2020,BIOL-380,BIOL-380,Tropical Ecology,Eco_Evo,Adv Eco,10,16,62.5
20192020,spr,2020,BIOL-380SPK,BIOL-380,Tropical Ecology Spk Intensiv,Eco_Evo,Adv Eco,7,16,43.75
20172018,spr,2018,BIOL-440,BIOL-440,Conservation Biology w/Lab,Eco_Evo,Core,14,16,87.5
20182019,spr,2019,BIOL-440,BIOL-440,Conservation Biology w/Lab,Eco_Evo,Core,17,16,106.25
20192020,spr,2020,BIOL-440,BIOL-440,Conservation Biology w/Lab,Eco_Evo,Core,16,16,100
20202021,spr,2021,BIOL-440,BIOL-440,Conservation Biology w/Lab,Eco_Evo,Core,13,16,81.25
20212022,spr,2022,BIOL-440,BIOL-440,Conservation Biology w/Lab,Eco_Evo,Core,5,16,31.25
20172018,fall,2017,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,19,22,86.36363636
20182019,fall,2018,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,15,16,93.75
20172018,spr,2018,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,16,16,100
20192020,fall,2019,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,17,16,106.25
20182019,spr,2019,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,18,16,112.5
20202021,fall,2020,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,15,16,93.75
20192020,spr,2020,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,17,16,106.25
20212022,fall,2021,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,17,16,106.25
20202021,spr,2021,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,13,16,81.25
20212022,spr,2022,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,14,16,87.5
20172018,fall,2017,BIOL-101,BIOL-101,General Biology I w/Lab,Eco_Evo,Core,192,192,100
20182019,fall,2018,BIOL-101,BIOL-101,General Biology I w/Lab,Eco_Evo,Core,178,192,92.70833333
20192020,fall,2019,BIOL-101,BIOL-101,General Biology I w/Lab,Eco_Evo,Core,177,192,92.1875
20202021,fall,2020,BIOL-101,BIOL-101,General Biology I w/Lab,Eco_Evo,Core,140,192,72.91666667
20212022,fall,2021,BIOL-101,BIOL-101,General Biology I w/Lab,Eco_Evo,Core,173,192,90.10416667
20172018,spr,2018,BIOL-102,BIOL-102,General Biology II w/Lab,Molec,Core,133,144,92.36111111
20182019,spr,2019,BIOL-102,BIOL-102,General Biology II w/Lab,Molec,Core,110,144,76.38888889
20192020,spr,2020,BIOL-102,BIOL-102,General Biology II w/Lab,Molec,Core,105,144,72.91666667
20202021,spr,2021,BIOL-102,BIOL-102,General Biology II w/Lab,Molec,Core,86,144,59.72222222
20212022,spr,2022,BIOL-102,BIOL-102,General Biology II w/Lab,Molec,Core,108,144,75
20172018,fall,2017,BIOL-245,BIOL-245,Genetics,Molec,Core,31,32,96.875
20182019,fall,2018,BIOL-245,BIOL-245,Genetics,Molec,Core,22,32,68.75
20172018,spr,2018,BIOL-245,BIOL-245,Genetics,Molec,Core,31,32,96.875
20192020,fall,2019,BIOL-245,BIOL-245,Genetics,Molec,Core,19,32,59.375
20182019,spr,2019,BIOL-245,BIOL-245,Genetics,Molec,Core,31,32,96.875
20202021,fall,2020,BIOL-245,BIOL-245,Genetics,Molec,Core,24,32,75
20192020,spr,2020,BIOL-245,BIOL-245,Genetics,Molec,Core,32,32,100
20212022,fall,2021,BIOL-245,BIOL-245,Genetics,Molec,Core,30,32,93.75
20202021,spr,2021,BIOL-245,BIOL-245,Genetics,Molec,Core,35,32,109.375
20212022,spr,2022,BIOL-245,BIOL-245,Genetics,Molec,Core,33,32,103.125
20192020,fall,2019,BIOL-303,BIOL-303,Bio Statistics,Eco_Evo,Elective,11,16,68.75
20202021,fall,2020,BIOL-303,BIOL-303,Bio Statistics,Eco_Evo,Elective,11,18,61.11111111
20212022,fall,2021,BIOL-303,BIOL-303,Bio Statistics,Eco_Evo,Elective,10,18,55.55555556
20172018,spr,2018,BIOL-3033,BIOL-3033,Blue Planet,Eco_Evo,Elective,13,16,81.25
20182019,spr,2019,BIOL-3033,BIOL-3033,Blue Planet,Eco_Evo,Elective,5,16,31.25
20212022,fall,2021,BIOL-130NL,BIOL-130,Carnivory No Lab,Eco_Evo,Elective,20,20,100
20182019,fall,2018,BIOL-3049,BIOL-3049,Carnivory w/Lab,Eco_Evo,Elective,9,20,45
20192020,fall,2019,BIOL-130,BIOL-130,Carnivory w/Lab,Eco_Evo,Elective,13,20,65
20202021,fall,2020,BIOL-130,BIOL-130,Carnivory w/Lab,Eco_Evo,Elective,21,20,105
20172018,spr,2018,BIOL-230WL,BIOL-230WL,Food From the Sea w/Lab,Eco_Evo,Elective,17,16,106.25
20182019,spr,2019,BIOL-230WL,BIOL-230WL,Food From the Sea w/Lab,Eco_Evo,Elective,10,16,62.5
20192020,spr,2020,BIOL-230WL,BIOL-230WL,Food From the Sea w/Lab,Eco_Evo,Elective,10,16,62.5
20202021,spr,2021,BIOL-230WL,BIOL-230WL,Food From the Sea w/Lab,Eco_Evo,Elective,18,16,112.5
20212022,spr,2022,BIOL-230WL,BIOL-230WL,Food From the Sea w/Lab,Eco_Evo,Elective,11,16,68.75
20182019,fall,2018,BIOL-3073,BIOL-3073,Habitat Management,Eco_Evo,Elective,15,16,93.75
20182019,spr,2019,BIOL-3080,BIOL-3080,Invasive Species,Eco_Evo,Elective,16,16,100
20172018,fall,2017,BIOL-3023,BIOL-3023,Mist Nets & Museum Ski w/Lab,Eco_Evo,Elective,8,10,80
20212022,fall,2021,BIOL-3023,BIOL-3023,Mist Nets & Museum Ski w/Lab,Eco_Evo,Elective,9,10,90
20202021,spr,2021,BIOL-343,BIOL-343,Evolution w/Lab,Eco_Evo,Gen_Evo,12,16,75
20182019,fall,2018,BIOL-343NL,BIOL-343NL,Evolution-No Lab,Eco_Evo,Gen_Evo,17,20,85
20182019,fall,2018,BIOL-3072,BIOL-3072,Biology of Dogs w/Lab,NM,NM,16,16,100
20192020,fall,2019,BIOL-3072,BIOL-3072,Biology of Dogs w/Lab,NM,NM,16,16,100
20212022,fall,2021,BIOL-3072,BIOL-3072,Biology of Dogs w/Lab,NM,NM,13,16,81.25
20202021,spr,2021,BIOL-3072,BIOL-3072,Biology of Dogs w/Lab,NM,NM,16,16,100
20172018,spr,2018,BIOL-121,BIOL-121,Natural World w/Lab,Eco_Evo,NM,19,22,86.36363636
20182019,spr,2019,BIOL-121,BIOL-121,Natural World w/Lab,Eco_Evo,NM,18,22,81.81818182
