AcYear,Semester,Year,Course_num_official,Course_num_grouped,Course Name,Discipline,CB_type,Enrollment,Cap,Percent_cap,Hours
20212022,fall,2021,BIOL-357,BIOL-357,Behavioral Ecology,Eco_Evo,Adv Eco,14,16,87.5,3
20192020,fall,2019,BIOL-303,BIOL-303,Bio Statistics,Eco_Evo,Elective,11,16,68.75,3
20202021,fall,2020,BIOL-303,BIOL-303,Bio Statistics,Eco_Evo,Elective,11,18,61.11111111,3
20212022,fall,2021,BIOL-303,BIOL-303,Bio Statistics,Eco_Evo,Elective,10,18,55.55555556,3
20182019,fall,2018,BIOL-3072,BIOL-3072,Biology of Dogs w/Lab,NM,NM,16,16,100,6
20192020,fall,2019,BIOL-3072,BIOL-3072,Biology of Dogs w/Lab,NM,NM,16,16,100,6
20212022,fall,2021,BIOL-3072,BIOL-3072,Biology of Dogs w/Lab,NM,NM,13,16,81.25,6
20212022,fall,2021,BIOL-130NL,BIOL-130,Carnivory No Lab,Eco_Evo,NM,20,20,100,3
20182019,fall,2018,BIOL-3049,BIOL-3049,Carnivory w/Lab,Eco_Evo,Elective,9,20,45,6
20192020,fall,2019,BIOL-130,BIOL-130,Carnivory w/Lab,Eco_Evo,NM,13,20,65,6
20202021,fall,2020,BIOL-130,BIOL-130,Carnivory w/Lab,Eco_Evo,NM,21,20,105,6
20182019,fall,2018,BIOL-330,BIOL-330,Ecology Lakes & Rivers w/Lab,Eco_Evo,Adv Eco,14,16,87.5,6
20192020,fall,2019,BIOL-330,BIOL-330,Ecology Lakes & Rivers w/Lab,Eco_Evo,Adv Eco,15,16,93.75,6
20202021,fall,2020,BIOL-330,BIOL-330,Ecology Lakes & Rivers w/Lab,Eco_Evo,Adv Eco,18,16,112.5,6
20212022,fall,2021,BIOL-330,BIOL-330,Ecology Lakes & Rivers w/Lab,Eco_Evo,Adv Eco,13,16,81.25,6
20172018,fall,2017,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,19,22,86.36363636,6
20182019,fall,2018,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,15,16,93.75,6
20192020,fall,2019,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,17,16,106.25,6
20202021,fall,2020,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,15,16,93.75,6
20212022,fall,2021,BIOL-221,BIOL-221,Ecology w/Lab,Eco_Evo,Core,17,16,106.25,6
20182019,fall,2018,BIOL-258NL,BIOL-258NL,Ethnobotany -No Lab,Eco_Evo,Org Div,16,20,80,3
20192020,fall,2019,BIOL-258NL,BIOL-258NL,Ethnobotany -No Lab,Eco_Evo,Org Div,20,20,100,3
20202021,fall,2020,BIOL-258NL,BIOL-258NL,Ethnobotany -No Lab,Eco_Evo,Org Div,15,20,75,3
20212022,fall,2021,BIOL-258NL,BIOL-258NL,Ethnobotany -No Lab,Eco_Evo,Org Div,21,20,105,3
20172018,fall,2017,BIOL-258,BIOL-258,Ethnobotany w/Lab,Eco_Evo,Org Div,20,20,100,6
20182019,fall,2018,BIOL-343NL,BIOL-343NL,Evolution-No Lab,Eco_Evo,Core,17,20,85,3
20172018,fall,2017,BIOL-4018,BIOL-4018,Forest Ecology w/Lab,Eco_Evo,Adv Eco,11,16,68.75,6
20212022,fall,2021,BIOL-4018,BIOL-4018,Forest Ecology w/Lab,Eco_Evo,Adv Eco,5,16,31.25,6
20172018,fall,2017,FYP,FYP,FYP,NM,NM,15,15,100,4.5
20182019,fall,2018,FYP,FYP,FYP,NM,NM,15,15,100,4.5
20192020,fall,2019,FYP,FYP,FYP,NM,NM,15,15,100,4.5
20202021,fall,2020,FYP,FYP,FYP,NM,NM,15,15,100,4.5
20212022,fall,2021,FYP,FYP,FYP,NM,NM,15,15,100,4.5
20172018,fall,2017,BIOL-101,BIOL-101,General Biology I w/Lab,Eco_Evo,Core,192,192,100,9
20182019,fall,2018,BIOL-101,BIOL-101,General Biology I w/Lab,Eco_Evo,Core,178,192,92.70833333,9
20192020,fall,2019,BIOL-101,BIOL-101,General Biology I w/Lab,Eco_Evo,Core,177,192,92.1875,9
20202021,fall,2020,BIOL-101,BIOL-101,General Biology I w/Lab,Eco_Evo,Core,140,192,72.91666667,9
20212022,fall,2021,BIOL-101,BIOL-101,General Biology I w/Lab,Eco_Evo,Core,173,192,90.10416667,9
20182019,fall,2018,BIOL-3073,BIOL-3073,Habitat Management,Eco_Evo,Elective,15,16,93.75,3
20192020,fall,2019,BIOL-4027,BIOL-4027,Insect Biology w/Lab,Org,Org Div,7,11,63.63636364,6
20202021,fall,2020,BIOL-4027,BIOL-4027,Insect Biology w/Lab,Org,Org Div,11,11,100,6
20182019,fall,2018,BIOL-227,BIOL-227,Mammalogy w/Lab,Eco_Evo,Org Div,15,16,93.75,6
20172018,fall,2017,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,32,32,100,9
20182019,fall,2018,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,32,32,100,9
20192020,fall,2019,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,33,32,103.125,9
20202021,fall,2020,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,28,32,87.5,9
20212022,fall,2021,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,29,32,90.625,9
