StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q9,Q8,Q7,Q5,Q6,Q11,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q15,Q16,Q17,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_10_TEXT,Q23,Raffle,SC0,Score
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,When do you expect to graduate?,Have you declared a biology-related major yet?,Which Biology-related major have you declared?,Are you planning to major in a Biology-related field?,Which Biology-related major are you considering?,What major have you declared or are you planning to declare?,Are you a planning for or have you declared a double major?,What is your second major field (planned or declared)?,"Are you minoring or planning to minor in any field (including Biology)? If so, please list the name of the minor(s) you are pursuing or plan to pursue.","Please respond to the following statements. - In general, I feel a strong sense of community in the Biology Department",Please respond to the following statements. - I feel well-connected to faculty in the Biology department,Please respond to the following statements. - I feel well-connected to students in the Biology department across Biology-related majors,Please respond to the following statements. - I feel well-connected to students who have the same major that I do.,Please respond to the following statements. - I wish the Biology department did more to help build a sense of community among students/faculty/staff in the department,Please respond to the following statements. - The Biology department (including in our classes as well as at department events) is welcoming to all students,"How interested would you be in a seminar series that hosted a guest 2 - 4 times per semester? The guest would give a public talk about their work, targeted at a broad audience. Some of the seminar slots might also be filled by upper-level students talking about their research.","How interested would you be in a biology club that was open to any student (regardless of major or minor, regardless of GPA, regardless of class year)?","How interested would you be in field trips sponsored by the Biology department? These might include activities such as going for a hike on a local mountain, going out bird watching, visiting the museum about treatment of Tuberculosis in Saranac Lake, taking a trip to the Wild Center, etc.",How much interest would you have in the following activities? - More frequent faculty - student social gatherings,How much interest would you have in the following activities? - More frequent student social gatherings,How much interest would you have in the following activities? - Trivia night,How much interest would you have in the following activities? - Biology board games in the JHS lobby,How much interest would you have in the following activities? - Lunch table gathering with a faculty member,How much interest would you have in the following activities? - Open office hours with different faculty,How much interest would you have in the following activities? - Faculty presenting seminars about their research,How much interest would you have in the following activities? - Tours of faculty research labs,How much interest would you have in the following activities? - Gathering with faculty and senior majors during senior week,How much interest would you have in the following activities? - Other,How much interest would you have in the following activities? - Other - Text,Now we would like to hear from you. What ideas do you have that would help to build community within the Biology department?,Would you like to be entered in the raffle for a $25 bookstore gift certificate (you must answer 80% or more of the survey questions to be eligible)?,Score,Score
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID19_7""}","{""ImportId"":""QID19_8""}","{""ImportId"":""QID19_9""}","{""ImportId"":""QID19_10""}","{""ImportId"":""QID19_10_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""SC_0TmP5MQMvggJxHM""}","{""ImportId"":""Score""}"
2025-03-26 12:48:49,2025-03-26 12:51:14,Survey Preview,,100,145,True,2025-03-26 12:51:15,R_7lG7B3WLLLcFsOJ,,,,,44.5928,-75.1726,preview,EN,,Yes,Biology - Physics,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,3,
2025-03-26 13:20:54,2025-03-26 13:24:02,Survey Preview,,100,187,True,2025-03-26 13:24:02,R_7twiYVuZcUhsO4x,,,,,44.5928,-75.1726,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-26 13:37:27,2025-03-26 13:38:37,Survey Preview,,100,69,True,2025-03-26 13:38:37,R_7ruTdb9XYyoUwNZ,,,,,44.5928,-75.1726,preview,EN,2025 (senior),No,,Yes - still need to declare,Biomedical Sciences,,Yes,english,,Neither agree nor disagree,Somewhat disagree,,,,,I would be somewhat interested and would attend some of these events,I would be somewhat interested and might get involved with a club like this,I am not very interested and would be unlikely to participate in these sorts of events,,,,,,,,,Neither interested nor disinterested,,,,Yes,16,16
2025-03-27 10:56:07,2025-03-27 10:58:06,Survey Preview,,100,118,True,2025-03-27 10:58:06,R_1qF6l3u1CgS2hwt,,,,,44.5928,-75.1726,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-03-27 11:12:29,2025-03-27 11:14:23,Survey Preview,,100,114,True,2025-03-27 11:14:24,R_7VaTeJiYCWccleW,,,,,44.5928,-75.1726,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-03-27 13:36:48,2025-03-27 13:39:45,Survey Preview,,100,177,True,2025-03-27 13:39:45,R_5CBpd5KpfISUQzP,,,,,44.5928,-75.1726,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-01 10:18:54,2025-04-01 10:20:41,Survey Preview,,100,107,True,2025-04-01 10:20:42,R_55XclueclD2y1Xe,,,,,44.5928,-75.1726,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-04 11:41:29,2025-04-04 11:42:59,Survey Preview,,100,89,True,2025-04-04 11:42:59,R_72K0VuophNdiFVj,,,,,44.5928,-75.1726,preview,EN,2027 (sophomore),Yes,Biomedical Sciences,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,4
2025-04-04 14:54:33,2025-04-04 14:55:23,IP Address,69.6.124.189,100,49,True,2025-04-04 14:55:23,R_1v5HUpt733fI9Ch,,,,,44.5928,-75.1726,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-04 17:05:10,2025-04-04 17:08:46,IP Address,69.6.101.205,100,216,True,2025-04-04 17:08:47,R_5RVCaljMrVjhfRT,,,,,44.5928,-75.1726,anonymous,EN,2027 (sophomore),Yes,Biochemistry,,,,Yes,Public health but probably going to be a minor,,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would be very interested and would like to attend these sorts of events,I would be somewhat interested and might get involved with a club like this,I would be very interested and would participate in these kinds of events,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Strongly disinterested,,,Yes,52,52
2025-04-04 17:33:00,2025-04-04 17:35:23,IP Address,104.28.78.72,100,142,True,2025-04-04 17:35:24,R_7guq3uqunnwtCeD,,,,,42.8864,-78.8784,anonymous,EN,2025 (senior),Yes,Biology,,,,Yes,Business,Spanish,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,I would be somewhat interested and would attend some of these events,I would be somewhat interested and might get involved with a club like this,I would be very interested and would participate in these kinds of events,Somewhat disinterested,Somewhat disinterested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Very interested,,,,Yes,47,47
2025-04-04 19:49:06,2025-04-04 19:52:34,IP Address,104.28.55.252,100,207,True,2025-04-04 19:52:34,R_7od2xEHhamMBXz8,,,,,40.7126,-74.0066,anonymous,EN,2026 (junior),Yes,Biology,,,,No,,Art History,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,I would be very interested and would like to attend these sorts of events,I would be very interested and would get involved with a club like this,I would be very interested and would participate in these kinds of events,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Neither interested nor disinterested,,Better upper level tutoring as you get out of gen bio and gen chem it’s up to you for studying and understanding material. I’ve noticed a lot of students help eachother out whether that’s in a study group or just asking eachother about topics. Maybe a better connected tutor program for specific classes could be a cool idea.,Yes,43,43
2025-04-05 09:07:57,2025-04-05 09:11:44,IP Address,172.56.216.87,100,226,True,2025-04-05 09:11:45,R_5zCvEyt97u2P0kO,,,,,40.0149,-75.1439,anonymous,EN,2026 (junior),Yes,Neuroscience,,,,No,,"Spanish ",Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,I am not very interested and would be unlikely to attend these events,I would be somewhat interested and might get involved with a club like this,I am neither interested nor disinterested,Somewhat interested,Neither interested nor disinterested,Neither interested nor disinterested,Somewhat interested,Neither interested nor disinterested,Neither interested nor disinterested,Very interested,Somewhat interested,Somewhat interested,Neither interested nor disinterested,,,No,53,53
2025-04-05 10:55:51,2025-04-05 10:59:36,IP Address,69.6.101.191,100,224,True,2025-04-05 10:59:36,R_7qs5Bbkwe1jma2H,,,,,44.5928,-75.1726,anonymous,EN,2027 (sophomore),Yes,Biology,,,,No,,Sports Studies & Exercise Science,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,I would be somewhat interested and would attend some of these events,I would be somewhat interested and might get involved with a club like this,I would be very interested and would participate in these kinds of events,Somewhat interested,Somewhat interested,Very interested,Somewhat disinterested,Somewhat interested,Neither interested nor disinterested,Very interested,Somewhat interested,Somewhat interested,Very interested,field trips,I love the idea of field trips and a biology club.,Yes,49,49
2025-04-05 14:00:08,2025-04-05 15:01:37,IP Address,69.6.101.163,100,3688,True,2025-04-05 15:01:37,R_3l9AYidEdVISbC1,,,,,44.5928,-75.1726,anonymous,EN,2025 (senior),Yes,Biomedical Sciences,,,,No,,,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,I would be somewhat interested and would attend some of these events,I would be very interested and would get involved with a club like this,I would be very interested and would participate in these kinds of events,Neither interested nor disinterested,Very interested,Very interested,Very interested,Somewhat interested,Neither interested nor disinterested,Very interested,Very interested,Very interested,,,,Yes,44,44
2025-04-06 11:27:17,2025-04-06 11:34:17,IP Address,69.6.101.152,100,420,True,2025-04-06 11:34:18,R_5pY8qlho07R8Ym1,,,,,44.5928,-75.1726,anonymous,EN,2026 (junior),Yes,Environmental Science - Biology,,,,No,,"Spanish, Native American studies",Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,I would be somewhat interested and would attend some of these events,I would be somewhat interested and might get involved with a club like this,I would be very interested and would participate in these kinds of events,Neither interested nor disinterested,Somewhat interested,Somewhat disinterested,Very interested,Neither interested nor disinterested,Neither interested nor disinterested,Somewhat interested,Neither interested nor disinterested,Somewhat interested,,,,Yes,48,48
2025-04-06 18:17:30,2025-04-06 18:21:08,IP Address,69.6.101.168,100,218,True,2025-04-06 18:21:09,R_7ByOmnCaXjZGcu0,,,,,44.5928,-75.1726,anonymous,EN,2025 (senior),Yes,Biology,,,,Yes,Pre-health chemistry,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,I would be somewhat interested and would attend some of these events,I would be somewhat interested and might get involved with a club like this,I would be very interested and would participate in these kinds of events,Neither interested nor disinterested,Somewhat interested,Very interested,Very interested,Very interested,Neither interested nor disinterested,Very interested,Very interested,Very interested,,,,Yes,42,42
2025-04-06 18:23:01,2025-04-06 18:25:40,IP Address,69.6.101.220,100,158,True,2025-04-06 18:25:40,R_7zJfkB3swsZNHO1,,,,,44.5928,-75.1726,anonymous,EN,2025 (senior),Yes,Biology,,,,No,,Biology,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,I would be very interested and would like to attend these sorts of events,I would be very interested and would get involved with a club like this,I would be very interested and would participate in these kinds of events,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Neither interested nor disinterested,Somewhat interested,Somewhat interested,Somewhat interested,,Icebreakers,Yes,50,50
