StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q9,Q8,Q7,Q5,Q6,Q11,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q15,Q16,Q17,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_10_TEXT,Q23,Raffle,SC0,Score
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,When do you expect to graduate?,Have you declared a biology-related major yet?,Which Biology-related major have you declared?,Are you planning to major in a Biology-related field?,Which Biology-related major are you considering?,What major have you declared or are you planning to declare?,Are you a planning for or have you declared a double major?,What is your second major field (planned or declared)?,"Are you minoring or planning to minor in any field (including Biology)? If so, please list the name of the minor(s) you are pursuing or plan to pursue.","Please respond to the following statements. - In general, I feel a strong sense of community in the Biology Department",Please respond to the following statements. - I feel well-connected to faculty in the Biology department,Please respond to the following statements. - I feel well-connected to students in the Biology department across Biology-related majors,Please respond to the following statements. - I feel well-connected to students who have the same major that I do.,Please respond to the following statements. - I wish the Biology department did more to help build a sense of community among students/faculty/staff in the department,Please respond to the following statements. - The Biology department (including in our classes as well as at department events) is welcoming to all students,"How interested would you be in a seminar series that hosted a guest 2 - 4 times per semester? The guest would give a public talk about their work, targeted at a broad audience. Some of the seminar slots might also be filled by upper-level students talking about their research.","How interested would you be in a biology club that was open to any student (regardless of major or minor, regardless of GPA, regardless of class year)?","How interested would you be in field trips sponsored by the Biology department? These might include activities such as going for a hike on a local mountain, going out bird watching, visiting the museum about treatment of Tuberculosis in Saranac Lake, taking a trip to the Wild Center, etc.",How much interest would you have in the following activities? - More frequent faculty - student social gatherings,How much interest would you have in the following activities? - More frequent student social gatherings,How much interest would you have in the following activities? - Trivia night,How much interest would you have in the following activities? - Biology board games in the JHS lobby,How much interest would you have in the following activities? - Lunch table gathering with a faculty member,How much interest would you have in the following activities? - Open office hours with different faculty,How much interest would you have in the following activities? - Faculty presenting seminars about their research,How much interest would you have in the following activities? - Tours of faculty research labs,How much interest would you have in the following activities? - Gathering with faculty and senior majors during senior week,How much interest would you have in the following activities? - Other,How much interest would you have in the following activities? - Other - Text,Now we would like to hear from you. What ideas do you have that would help to build community within the Biology department?,Would you like to be entered in the raffle for a $25 bookstore gift certificate (you must answer 80% or more of the survey questions to be eligible)?,Score,Score
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID19_7""}","{""ImportId"":""QID19_8""}","{""ImportId"":""QID19_9""}","{""ImportId"":""QID19_10""}","{""ImportId"":""QID19_10_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""SC_0TmP5MQMvggJxHM""}","{""ImportId"":""Score""}"
2025-03-26 12:48:49,2025-03-26 12:51:14,1,,100,145,1,2025-03-26 12:51:15,R_7lG7B3WLLLcFsOJ,,,,,44.5928,-75.1726,preview,EN,,1,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,
2025-03-26 13:20:54,2025-03-26 13:24:02,1,,100,187,1,2025-03-26 13:24:02,R_7twiYVuZcUhsO4x,,,,,44.5928,-75.1726,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-26 13:37:27,2025-03-26 13:38:37,1,,100,69,1,2025-03-26 13:38:37,R_7ruTdb9XYyoUwNZ,,,,,44.5928,-75.1726,preview,EN,1,2,,1,2,,2,english,,3,2,,,,,2,2,4,,,,,,,,,3,,,,1,16,16
2025-03-27 10:56:07,2025-03-27 10:58:06,1,,100,118,1,2025-03-27 10:58:06,R_1qF6l3u1CgS2hwt,,,,,44.5928,-75.1726,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-03-27 11:12:29,2025-03-27 11:14:23,1,,100,114,1,2025-03-27 11:14:24,R_7VaTeJiYCWccleW,,,,,44.5928,-75.1726,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-03-27 13:36:48,2025-03-27 13:39:45,1,,100,177,1,2025-03-27 13:39:45,R_5CBpd5KpfISUQzP,,,,,44.5928,-75.1726,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-01 10:18:54,2025-04-01 10:20:41,1,,100,107,1,2025-04-01 10:20:42,R_55XclueclD2y1Xe,,,,,44.5928,-75.1726,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-04 11:41:29,2025-04-04 11:42:59,1,,100,89,1,2025-04-04 11:42:59,R_72K0VuophNdiFVj,,,,,44.5928,-75.1726,preview,EN,3,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,4,4
2025-04-04 14:54:33,2025-04-04 14:55:23,0,69.6.124.189,100,49,1,2025-04-04 14:55:23,R_1v5HUpt733fI9Ch,,,,,44.5928,-75.1726,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-04 17:05:10,2025-04-04 17:08:46,0,69.6.101.205,100,216,1,2025-04-04 17:08:47,R_5RVCaljMrVjhfRT,,,,,44.5928,-75.1726,anonymous,EN,3,1,1,,,,2,Public health but probably going to be a minor,,4,5,5,5,5,5,1,2,1,1,1,1,2,1,2,1,2,1,5,,,1,52,52
2025-04-04 17:33:00,2025-04-04 17:35:23,0,104.28.78.72,100,142,1,2025-04-04 17:35:24,R_7guq3uqunnwtCeD,,,,,42.8864,-78.8784,anonymous,EN,1,1,3,,,,2,Business,Spanish,5,5,4,5,3,5,2,2,1,4,4,1,1,2,2,1,1,1,,,,1,47,47
2025-04-04 19:49:06,2025-04-04 19:52:34,0,104.28.55.252,100,207,1,2025-04-04 19:52:34,R_7od2xEHhamMBXz8,,,,,40.7126,-74.0066,anonymous,EN,2,1,3,,,,1,,Art History,4,5,3,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,3,,Better upper level tutoring as you get out of gen bio and gen chem it’s up to you for studying and understanding material. I’ve noticed a lot of students help eachother out whether that’s in a study group or just asking eachother about topics. Maybe a better connected tutor program for specific classes could be a cool idea.,1,43,43
2025-04-05 09:07:57,2025-04-05 09:11:44,0,172.56.216.87,100,226,1,2025-04-05 09:11:45,R_5zCvEyt97u2P0kO,,,,,40.0149,-75.1439,anonymous,EN,2,1,7,,,,1,,"Spanish ",4,4,3,4,5,5,4,2,3,2,3,3,2,3,3,1,2,2,3,,,2,53,53
2025-04-05 10:55:51,2025-04-05 10:59:36,0,69.6.101.191,100,224,1,2025-04-05 10:59:36,R_7qs5Bbkwe1jma2H,,,,,44.5928,-75.1726,anonymous,EN,3,1,3,,,,1,,Sports Studies & Exercise Science,4,3,5,4,3,5,2,2,1,2,2,1,4,2,3,1,2,2,1,field trips,I love the idea of field trips and a biology club.,1,49,49
2025-04-05 14:00:08,2025-04-05 15:01:37,0,69.6.101.163,100,3688,1,2025-04-05 15:01:37,R_3l9AYidEdVISbC1,,,,,44.5928,-75.1726,anonymous,EN,1,1,2,,,,1,,,5,5,2,4,3,5,2,1,1,3,1,1,1,2,3,1,1,1,,,,1,44,44
2025-04-06 11:27:17,2025-04-06 11:34:17,0,69.6.101.152,100,420,1,2025-04-06 11:34:18,R_5pY8qlho07R8Ym1,,,,,44.5928,-75.1726,anonymous,EN,2,1,6,,,,1,,"Spanish, Native American studies",4,4,2,2,4,4,2,2,1,3,2,4,1,3,3,2,3,2,,,,1,48,48
2025-04-06 18:17:30,2025-04-06 18:21:08,0,69.6.101.168,100,218,1,2025-04-06 18:21:09,R_7ByOmnCaXjZGcu0,,,,,44.5928,-75.1726,anonymous,EN,1,1,3,,,,2,Pre-health chemistry,,3,4,4,4,3,5,2,2,1,3,2,1,1,1,3,1,1,1,,,,1,42,42
2025-04-06 18:23:01,2025-04-06 18:25:40,0,69.6.101.220,100,158,1,2025-04-06 18:25:40,R_7zJfkB3swsZNHO1,,,,,44.5928,-75.1726,anonymous,EN,1,1,3,,,,1,,Biology,4,4,4,4,4,5,1,1,1,1,2,2,2,2,2,3,2,2,2,,Icebreakers,1,50,50
2025-04-06 22:12:55,2025-04-06 22:15:18,0,69.6.101.135,100,143,1,2025-04-06 22:15:19,R_3gGCrAKn4Fv3ZCN,,,,,44.5928,-75.1726,anonymous,EN,2,1,3,,,,2,Psychology,No,2,4,4,4,4,5,2,1,4,2,2,,4,4,5,2,1,2,,,N/A,1,50,50
2025-04-07 08:11:39,2025-04-07 10:28:00,0,69.6.101.168,100,8180,1,2025-04-07 10:28:01,R_7iFpJjEKxNCVX77,,,,,44.5928,-75.1726,anonymous,EN,2,1,7,,,,1,,"Outdoor Studies, SSES",4,4,3,4,4,5,1,3,4,1,2,1,2,2,4,2,2,3,,,"In terms of a biology club, we already have tri beta as an organization involving many biology majors. Maybe if the Bio department could sponsor the fee needed to join tri Beta it would help to decrease barriers to connecting with other biology students. Some colleges also have a program that pays for lunch/coffee at a local restaurant with professors—that could be a cool program to foster connections with faculty.",1,48,48
2025-04-07 10:37:51,2025-04-07 10:41:50,0,104.28.55.58,100,238,1,2025-04-07 10:41:50,R_3owmKWjJid2Up3I,,,,,43.0483,-76.1468,anonymous,EN,2,1,3,,,,1,,Public Health,4,4,4,4,4,2,2,2,2,2,3,4,4,4,3,2,2,2,2,,"Community Service Projects
- blood drives, cleanups etc

Peer mentorship Program
- pair underclassmen with upperclassmen

",1,54,54
2025-04-07 11:34:02,2025-04-07 11:36:44,0,69.6.101.170,100,161,1,2025-04-07 11:36:44,R_6CqHYY1nhn6R9zD,,,,,44.5928,-75.1726,anonymous,EN,2,1,7,,,,1,,Political Science,2,2,4,4,3,4,2,2,3,3,3,1,2,4,3,1,1,3,,,,1,44,44
2025-04-07 11:57:11,2025-04-07 11:59:16,0,69.6.101.130,100,124,1,2025-04-07 11:59:17,R_3pLMHEaY2zOIojn,,,,,44.5928,-75.1726,anonymous,EN,3,1,2,,,,1,,,5,5,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,41,41
2025-04-07 12:10:11,2025-04-07 12:14:31,0,172.225.28.130,100,260,1,2025-04-07 12:14:31,R_33Uu62GiZcXXyH7,,,,,43.1115,-76.1834,anonymous,EN,3,1,5,,,,1,,Outdoor Studies,3,4,4,2,4,4,2,2,1,2,1,3,3,3,2,1,1,2,,,,1,45,45
2025-04-07 12:55:56,2025-04-07 12:58:24,0,69.6.101.135,100,148,1,2025-04-07 12:58:25,R_3G6rC2I4TbDxPL4,,,,,44.5928,-75.1726,anonymous,EN,3,1,5,,,,1,,Spanish,5,5,5,4,3,4,1,1,1,2,2,2,4,2,2,1,1,3,,,,1,50,50
2025-04-07 13:00:14,2025-04-07 13:02:15,0,69.6.101.217,100,120,1,2025-04-07 13:02:16,R_7p6nputtiuZzvJY,,,,,44.5928,-75.1726,anonymous,EN,4,2,,1,2,,2,Religious Studies - Planned,None,3,4,3,2,4,5,2,1,1,2,2,1,3,2,4,2,2,4,,,,1,49,49
2025-04-07 13:00:01,2025-04-07 13:02:22,0,69.6.101.171,100,140,1,2025-04-07 13:02:23,R_7IrXyzFvwtMMBFf,,,,,44.5928,-75.1726,anonymous,EN,4,2,,1,2,,1,,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,1,54,54
